application,version,instrumentor,trial,compiletime,memoryuse,success,failurereason
exif,1,cc-none,3,56.3467381001,55288,True,
exif,1,bb-none,3,56.6097738743,44236,True,
exif,1,cc-simple,3,55.602107048,44200,True,
exif,1,clang,3,34.3666758537,49944,True,
exif,1,cc-gams,3,577.730243206,26127988,False,MEMOUT
exif,1,bb-simple,3,56.400113821,44208,True,
exif,1,cc-lemon,3,94.1403570175,44228,True,
exif,1,bb-gams,3,999.897053003,26128164,False,MEMOUT
exif,1,bb-lemon,3,112.952662945,44308,True,
exif,1,bb-local,3,694.944832802,44188,True,
bc,1,cc-local,1,119.756190777,44368,True,
bc,1,cc-none,1,25.2790291309,44424,True,
bc,1,bb-none,1,26.3150029182,47528,True,
bc,1,cc-simple,1,25.0989360809,44556,True,
bc,1,clang,1,13.8363661766,49628,True,
bc,1,cc-gams,1,1599.76111102,26180224,False,MEMOUT
bc,1,bb-simple,1,25.7273468971,45296,True,
bc,1,cc-lemon,1,48.8952879906,44172,True,
bc,1,bb-gams,1,2354.20509505,26125316,False,MEMOUT
bc,1,bb-lemon,1,535.268900156,45524,True,
bc,1,bb-local,1,5663.82888699,45724,True,
bc,1,cc-local,2,118.735004902,44164,True,
bc,1,cc-none,2,25.0962669849,44280,True,
bc,1,bb-none,2,26.2060348988,47936,True,
bc,1,cc-simple,2,25.0821149349,44124,True,
bc,1,clang,2,13.7946550846,49716,True,
bc,1,cc-gams,2,1662.41082597,26180248,False,MEMOUT
bc,1,bb-simple,2,25.6221117973,45728,True,
bc,1,cc-lemon,2,48.7384579182,44384,True,
bc,1,bb-gams,2,2397.69319797,26125304,False,MEMOUT
bc,1,bb-lemon,2,536.383590937,45704,True,
bc,1,bb-local,2,5633.44788098,45668,True,
bc,1,cc-local,3,120.198462963,44352,True,
bc,1,cc-none,3,25.3047170639,44368,True,
bc,1,bb-none,3,26.2470870018,47944,True,
bc,1,cc-simple,3,25.1261909008,44356,True,
bc,1,clang,3,13.788850069,49852,True,
bc,1,cc-gams,3,1690.9407239,26180164,False,MEMOUT
bc,1,bb-simple,3,25.6903820038,45688,True,
bc,1,cc-lemon,3,48.7433030605,44384,True,
bc,1,bb-gams,3,2381.440552,26125348,False,MEMOUT
bc,1,bb-lemon,3,535.724505901,45576,True,
bc,1,bb-local,3,5623.65864301,45756,True,
gzip,1,cc-local,1,112.705236912,51224,True,
gzip,1,cc-none,1,4.52137088776,51340,True,
gzip,1,bb-none,1,5.15190792084,56740,True,
gzip,1,cc-simple,1,4.48182010651,51464,True,
gzip,1,clang,1,2.69021296501,57616,True,
gzip,1,cc-gams,1,503.767457962,24909120,False,MEMOUT
gzip,1,bb-simple,1,4.85404706001,53160,True,
gzip,1,cc-lemon,1,9.70516514778,51268,True,
gzip,1,bb-gams,1,528.777438164,25288616,False,MEMOUT
gzip,1,bb-lemon,1,74.3005921841,51908,True,
gzip,1,bb-local,1,3267.56385303,52216,True,
gzip,2,cc-local,1,159.845721006,52860,True,
gzip,2,cc-none,1,5.64481496811,53668,True,
gzip,2,bb-none,1,6.55806803703,60676,True,
gzip,2,cc-simple,1,5.64457798004,53440,True,
gzip,2,clang,1,3.41605615616,59912,True,
gzip,2,cc-gams,1,779.991559982,24908980,False,MEMOUT
gzip,2,bb-simple,1,6.08014893532,56688,True,
gzip,2,cc-lemon,1,13.1810238361,53256,True,
gzip,2,bb-gams,1,535.49008584,25288540,False,MEMOUT
gzip,2,bb-lemon,1,179.854403019,55548,True,
gzip,2,bb-local,1,6325.2209971,55580,True,
gzip,3,cc-local,1,160.297718048,52440,True,
gzip,3,cc-none,1,5.48837900162,53340,True,
gzip,3,bb-none,1,6.36449599266,60284,True,
gzip,3,cc-simple,1,5.48606204987,52740,True,
gzip,3,clang,1,3.31622219086,59312,True,
gzip,3,cc-gams,1,729.421939135,26180296,False,MEMOUT
gzip,3,bb-simple,1,5.91747498512,56044,True,
gzip,3,cc-lemon,1,13.0746772289,52540,True,
gzip,3,bb-gams,1,520.934542894,25288564,False,MEMOUT
gzip,3,bb-lemon,1,178.110006094,54856,True,
gzip,3,bb-local,1,6270.39838004,54596,True,
gzip,4,cc-local,1,168.9036448,52888,True,
gzip,4,cc-none,1,5.53596401215,53448,True,
gzip,4,bb-none,1,6.50234603882,62728,True,
gzip,4,cc-simple,1,5.53071403503,52932,True,
gzip,4,clang,1,3.33281612396,59552,True,
gzip,4,cc-gams,1,725.89556098,19941692,False,MEMOUT
gzip,4,bb-simple,1,6.02330493927,57684,True,
gzip,4,cc-lemon,1,13.642015934,52812,True,
gzip,4,bb-gams,1,528.480967999,25288536,False,MEMOUT
gzip,4,bb-lemon,1,182.461258888,55228,True,
gzip,4,bb-local,1,6606.11506701,55292,True,
gzip,5,cc-local,1,65.7786200047,53612,True,
gzip,5,cc-none,1,5.71935915947,54824,True,
gzip,5,bb-none,1,6.70000910759,63120,True,
gzip,5,cc-simple,1,5.67955780029,53988,True,
gzip,5,clang,1,3.44518113136,60416,True,
gzip,5,cc-gams,1,755.734853029,21994756,False,MEMOUT
gzip,5,bb-simple,1,6.19931197166,59112,True,
gzip,5,cc-lemon,1,9.87988400459,53720,True,
gzip,5,bb-gams,1,529.788068056,25288576,False,MEMOUT
gzip,5,bb-lemon,1,244.580423117,56812,True,
gzip,5,bb-local,1,10804.7487171,64804,False,TIMEOUT
ccrypt,1,cc-local,1,15.0047080517,42144,True,
ccrypt,1,cc-none,1,13.7001538277,42292,True,
ccrypt,1,bb-none,1,13.7824327946,42044,True,
ccrypt,1,cc-simple,1,13.6464591026,42212,True,
ccrypt,1,clang,1,7.81091809273,45984,True,
ccrypt,1,cc-gams,1,380.39649415,25161312,False,MEMOUT
ccrypt,1,bb-simple,1,13.7756359577,41984,True,
ccrypt,1,cc-lemon,1,14.068614006,42224,True,
ccrypt,1,bb-gams,1,234.359447956,26180152,False,MEMOUT
ccrypt,1,bb-lemon,1,16.3512589931,42104,True,
ccrypt,1,bb-local,1,28.2532248497,42288,True,
ccrypt,1,cc-local,2,14.5954918861,42292,True,
ccrypt,1,cc-none,2,13.7420589924,42296,True,
ccrypt,1,bb-none,2,13.8270661831,42028,True,
ccrypt,1,cc-simple,2,13.6124510765,42044,True,
ccrypt,1,clang,2,7.77284288406,45888,True,
ccrypt,1,cc-gams,2,400.932627916,25161280,False,MEMOUT
ccrypt,1,bb-simple,2,13.816562891,42252,True,
ccrypt,1,cc-lemon,2,14.0556409359,42184,True,
ccrypt,1,bb-gams,2,238.75655508,26180200,False,MEMOUT
ccrypt,1,bb-lemon,2,16.3842940331,42100,True,
ccrypt,1,bb-local,2,28.242205143,42124,True,
ccrypt,1,cc-local,3,14.589370966,42120,True,
ccrypt,1,cc-none,3,13.6779620647,42096,True,
ccrypt,1,bb-none,3,13.8764269352,42112,True,
ccrypt,1,cc-simple,3,13.6733088493,42084,True,
ccrypt,1,clang,3,7.80150508881,46008,True,
ccrypt,1,cc-gams,3,381.637731075,25161400,False,MEMOUT
ccrypt,1,bb-simple,3,14.2036750317,42112,True,
ccrypt,1,cc-lemon,3,14.054402113,42360,True,
ccrypt,1,bb-gams,3,240.187783957,26180252,False,MEMOUT
ccrypt,1,bb-lemon,3,16.3983650208,42108,True,
ccrypt,1,bb-local,3,28.2165119648,41932,True,
flex,1,cc-local,1,2377.95220995,63472,True,
flex,1,cc-none,1,7.6939330101,64780,True,
flex,1,bb-none,1,8.83518910408,71128,True,
flex,1,cc-simple,1,7.53883695602,63700,True,
flex,1,clang,1,4.31149291992,66232,True,
flex,1,cc-gams,1,354.362303019,24936724,False,MEMOUT
flex,1,bb-simple,1,8.11324810982,70564,True,
flex,1,cc-lemon,1,171.568270922,63532,True,
flex,1,bb-gams,1,406.936683893,26180252,False,MEMOUT
flex,1,bb-lemon,1,2695.01622295,77716,True,
flex,1,bb-local,1,10805.4847732,63964,False,TIMEOUT
