application,version,instrumentor,trial,function,nodes,arcs,maxIterations,initialMaxDepth,maxDepthIncrement,finalMaxDepth,initialTrianglesSize,triangleTime,numProbe,objectiveValue,totalIpTime,totalTriangleTime
schedule,1,bb-lemon,3,schedule,7,10,200,1,1,7,7,0,4,1.92857,0,0
schedule,1,bb-lemon,3,upgrade_process_prio,12,18,200,1,1,7,10,0,6,1.27011,0,0
schedule,1,bb-lemon,3,unblock_process,10,14,200,1,1,7,7,0,4,1.48148,0,0.004
schedule,1,bb-lemon,3,quantum_expire,10,15,200,1,1,7,15,0,6,2.73214,0,0.004
schedule,1,bb-lemon,3,block_process,10,15,200,1,1,7,15,0,6,2.73214,0,0.004
schedule,1,bb-lemon,3,new_process,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,3,add_process,3,3,200,1,1,7,1,0,1,0.380952,0,0
schedule,1,bb-lemon,3,init_prio_queue,7,9,200,1,1,7,5,0,2,29.1667,0,0
schedule,1,bb-lemon,3,initialize,1,0,200,1,1,7,0,0,0,0,0,0
schedule,1,bb-lemon,3,main,45,71,200,1,1,7,63,0.016,22,55.2893,0,0.168
print_tokens,1,cc-lemon,1,main,9,10,200,1,1,7,3,0,1,0.624999,0,0
print_tokens,1,cc-lemon,1,open_character_stream,5,5,200,1,1,7,1,0,1,0.625,0.004,0
print_tokens,1,cc-lemon,1,get_char,5,6,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,cc-lemon,1,open_token_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens,1,cc-lemon,1,get_token,190,313,200,1,1,7,126,0.024,16,41.2568,0,0.052
print_tokens,1,cc-lemon,1,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
print_tokens,1,bb-lemon,1,main,9,10,200,1,1,7,3,0,1,0.375,0,0
print_tokens,1,bb-lemon,1,open_character_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,1,get_char,5,6,200,1,1,7,3,0,2,0.517857,0,0.004
print_tokens,1,bb-lemon,1,is_end_of_character_stream,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,1,unget_char,3,3,200,1,1,7,1,0,1,0.666667,0,0
print_tokens,1,bb-lemon,1,open_token_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,1,get_token,190,313,200,1,1,7,644,0.236,80,380.995,0.004,5.3
print_tokens,1,bb-lemon,1,is_eof_token,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,1,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
print_tokens,1,cc-lemon,2,main,9,10,200,1,1,7,3,0,1,0.624999,0,0
print_tokens,1,cc-lemon,2,open_character_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens,1,cc-lemon,2,get_char,5,6,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,cc-lemon,2,open_token_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens,1,cc-lemon,2,get_token,190,313,200,1,1,7,126,0.024,16,41.2568,0.004,0.048
print_tokens,1,cc-lemon,2,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
print_tokens,1,bb-lemon,2,main,9,10,200,1,1,7,3,0,1,0.375,0,0
print_tokens,1,bb-lemon,2,open_character_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,2,get_char,5,6,200,1,1,7,3,0,2,0.517857,0,0
print_tokens,1,bb-lemon,2,is_end_of_character_stream,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,2,unget_char,3,3,200,1,1,7,1,0,1,0.666667,0,0
print_tokens,1,bb-lemon,2,open_token_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,2,get_token,190,313,200,1,1,7,644,0.236,80,380.995,0,5.308
print_tokens,1,bb-lemon,2,is_eof_token,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,2,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
print_tokens,1,cc-lemon,3,main,9,10,200,1,1,7,3,0,1,0.624999,0,0
print_tokens,1,cc-lemon,3,open_character_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens,1,cc-lemon,3,get_char,5,6,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,cc-lemon,3,open_token_stream,5,5,200,1,1,7,1,0,1,0.625,0,0
print_tokens,1,cc-lemon,3,get_token,190,313,200,1,1,7,126,0.028,16,41.2568,0,0.056
print_tokens,1,cc-lemon,3,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
print_tokens,1,bb-lemon,3,main,9,10,200,1,1,7,3,0,1,0.375,0,0
print_tokens,1,bb-lemon,3,open_character_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,3,get_char,5,6,200,1,1,7,3,0,2,0.517857,0,0
print_tokens,1,bb-lemon,3,is_end_of_character_stream,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,3,unget_char,3,3,200,1,1,7,1,0,1,0.666667,0,0
print_tokens,1,bb-lemon,3,open_token_stream,5,5,200,1,1,7,1,0,1,0.375,0,0
print_tokens,1,bb-lemon,3,get_token,190,313,200,1,1,7,644,0.236,80,380.995,0.008,5.304
print_tokens,1,bb-lemon,3,is_eof_token,1,0,200,1,1,7,0,0,0,0,0,0
print_tokens,1,bb-lemon,3,print_token,21,39,200,1,1,7,19,0,19,0.95,0,0
replace,1,cc-lemon,1,getline,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,1,dodash,31,49,200,1,1,7,2,0,2,2.05,0,0
replace,1,cc-lemon,1,getccl,9,12,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,1,makepat,75,124,200,1,1,7,3,0,1,0.957447,0,0
replace,1,cc-lemon,1,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,1,omatch,19,35,200,1,1,7,0,0,0,0,0,0
